Dataset identifier,https://datacatalog.worldbank.org/search/dataset/0064232
Event set identifier,0064232_EventSet1
Analysis type,probabilistic
Seasonality distribution,uniform
Calculation Method,simulated
Event count,10000
hazard/event_sets/0/spatial/countries,KAZ;KGZ;TJK;TKM;UZB
hazard/event_sets/0/spatial/scale,regional
