Dataset identifier,https://datacatalog.worldbank.org/search/dataset/0064232
Related resource identifier,0064232_ref1
Name,Central Asia flood hazard technical report - English version
Author names,Risk Engineering and Development
Publication date,2023-02-09
URL,https://datacatalogfiles.worldbank.org/ddh-published/0064084/DR0090774/Task3_FloodHazard_Report_r5_EN.pdf?versionId=2023-07-21T17:34:14.1038579Z
