Dataset identifier,https://www.wri.org/data/aqueduct-floods-hazard-maps
Event set identifier,1
Analysis type,probabilistic
Calculation Method,simulated
Event count,10
Occurrence range,1/2 to 1/1000 years
"Spatial coverage:
Spatial scale",global
