Code, Label, Description
CF, Coastal Flood,
CS, Convective Storm,
DR, Drought,
EQ, Earthquake,
ET, Extreme Temperature,
FL, Flood,
LS, Landslide,
MH, Multi-Hazard,
TS, Tsunami,
VO, Volcanic,
WF, Wildfire,
WI, Strong Wind,
