Code,Title,Definition
structure,Structure,Costs associated with the repair or replacement (reconstruction) of a physical structure such as a building or piece of infrastructure that sustain damage.
content,Content,Costs associated with the repair or replacement of the physical contents of a structure that sustain damage.
product,Product,"Costs associated with the loss of products produced by businesses, which may or may not be physical items."
disruption,Disruption (Business Interruption),Costs associated with disruption to the planned operations or service provision of a business or infrastructure.
