Code,Title,Description,Source
Point,Point,The 'coordinates' member is a single position.,https://tools.ietf.org/html/rfc7946#section-3.1
MultiPoint,MultiPoint,The 'coordinates' member is an array of positions.,https://tools.ietf.org/html/rfc7946#section-3.1
LineString,LineString,The 'coordinates' member is an array of two or more positions.,https://tools.ietf.org/html/rfc7946#section-3.1
MultiLineString,MultiLineString,The 'coordinates' member is an array of LineString coordinate arrays.,https://tools.ietf.org/html/rfc7946#section-3.1
Polygon,Polygon,The 'coordinates' member must be an array of linear ring coordinate arrays.,https://tools.ietf.org/html/rfc7946#section-3.1
MultiPolygon,MultiPolygon,The 'coordinates' member is an array of Polygon coordinate arrays.,https://tools.ietf.org/html/rfc7946#section-3.1
