Dataset identifier,FTH_example,FTH_example,FTH_example
Resource identifier,1,2,3
Resource title,Fluvial hazard - Undefended,Fluvial hazard - Defended,Pluvial hazard - Undefended
Resource description,"Fluvial flood hazard maps (10), not accounting any flood defence","Fluvial flood hazard maps (10), accounting for flood defence (estimate)","Pluvial flood hazard maps (10), not accounting any flood defence"
Format,geotiff,geotiff,geotiff
Spatial resolution,90,90,90
Coordinate reference system,EPSG:4326,EPSG:4326,EPSG:4326
Download Url,http://example.com/FTH-THA-fluvial-undefended,http://example.com/FTH-THA-fluvial-defended,http://example.com/FTH-THA-pluvial-undefended
