Identifier,Hazard Type,Cluster,Specific hazard,URL_details
TL0018,Technological,Cyber Hazard,Non-Conformity and Interoperability,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0018
TL0019,Technological,Cyber Hazard,Malware,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0019
TL0020,Technological,Cyber Hazard,Data Breach,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0020
TL0021,Technological,Cyber Hazard,Data Security-Related Hazards,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0021
TL0022,Technological,Cyber Hazard,Disrupt,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0022
TL0023,Technological,Cyber Hazard,Outage,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0023
TL0024,Technological,Cyber Hazard,Personally Identifiable Information (PII) Breach,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0024
TL0025,Technological,Cyber Hazard,Internet of Things (IOT)-Related Hazards,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0025
TL0026,Technological,Cyber Hazard,Cyberbullying,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0026
TL0027,Technological,Industrial Failure,Natech,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0027
TL0028,Technological,Industrial Failure,Pollution,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0028
TL0029,Technological,Industrial Failure,Explosion,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0029
TL0030,Technological,Industrial Failure,Leaks and Spills,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0030
TL0031,Technological,Industrial Failure,Soil Pollution,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0031
TL0032,Technological,Industrial Failure,Fire,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0032
TL0033,Technological,Industrial Failure,Mining Hazards,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0033
TL0034,Technological,Industrial Failure,Safety Hazards Associated with Oil and Gas,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0034
TL0035,Technological,Waste,Disaster Waste,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0035
TL0036,Technological,Waste,Solid Waste,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0036
TL0037,Technological,Waste,Wastewater,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0037
TL0038,Technological,Waste,Hazardous Waste,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0038
TL0039,Technological,Waste,Plastic Waste,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0039
TL0040,Technological,Marine,Marine Debris,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0040
TL0041,Technological,Waste,Electronic Waste (E-Waste),https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0041
TL0042,Technological,Waste,Healthcare Risk Waste,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0042
TL0043,Technological,Waste,Landfilling,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0043
TL0044,Technological,Waste,Tailings,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0044
TL0045,Technological,Waste,Waste Treatment Lagoons,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0045
TL0046,Technological,Flood,Drain and Sewer Flooding,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0046
TL0047,Technological,Flood,Reservoir Flooding,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0047
TL0048,Technological,Transportation,Air Transportation Accident,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0048
TL0049,Technological,Transportation,Inland Water Ways,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0049
TL0050,Technological,Transportation,Marine Accident,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0050
TL0051,Technological,Transportation,Rail Accident,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0051
TL0052,Technological,Transportation,Road Traffic Accident,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0052
TL0053,Technological,"CBRNE (Chemical, Biological, Radiological, Nuclear and Explosive)",Explosive agents,https://www.preventionweb.net/understanding-disaster-risk/terminology/hips/tl0053
