Code,Title,Description,Quantity Kind,QUDT URI
acre,Acre,"The acre is a unit of area in a number of different systems, including the imperial and U.S. customary systems. Its international symbol is ac. The most commonly used acres today are the international acre and, in the United States, the survey acre. The most common use of the acre is to measure tracts of land. One international acre is equal to 4046.8564224 square metres.",area,http://qudt.org/vocab/unit/AC
hectare,Hectare,"The customary metric unit of land area, equal to 100 ares. One hectare is a square hectometer, that is, the area of a square 100 meters on each side: exactly 10 000 square meters or approximately 107 639.1 square feet, 11 959.9 square yards, or 2.471 054 acres.",area,http://qudt.org/vocab/unit/HA
squareKilometre,Square Kilometre,"1,000,000-fold of the power of the SI base unit metre with the exponent 2.",area,http://qudt.org/vocab/unit/KiloM2
squareMetre,Square Metre,The S I unit of area is the square metre.,area,http://qudt.org/vocab/unit/M2
squareMile,Square Mile,"The square mile (abbreviated as sq mi and sometimes as mi) is an imperial and US unit of measure for an area equal to the area of a square of one statute mile. It should not be confused with miles square, which refers to the number of miles on each side squared. For instance, 20 miles square (20 × 20 miles) is equal to 400 square miles. One square mile is equivalent to: 4,014,489,600 square inches 27,878,400 square feet, 3,097,600 square yards, 640 acres, 258.9988110336 hectares, 2560 roods, 25,899,881,103.36 square centimetres, 2,589,988.110336 square metres, 2.589988110336 square kilometres When applied to a portion of the earth's surface, which is curved rather than flat, 'square mile' is an informal synonym for section.",area,http://qudt.org/vocab/unit/MI2
