Code,Title,Description,QUDT URI
cubic_metre,Cubic Metre,"The SI unit of volume, equal to 1.0e6 cm3, 1000 liters, 35.3147 ft3, or 1.30795 yd3. A cubic meter holds about 264.17 U.S. liquid gallons or 219.99 British Imperial gallons.",https://qudt.org/vocab/unit/M3
litre,Litre,"The (American spelling: liter ; SI symbol l or L ) is a non-SI metric system unit of volume equal to 1 cubic decimetre (dm3), 1,000 cubic centimetres (cm3) or 1/1000 cubic metre. If the lower case ""L"" is used as the symbol, it is sometimes rendered as a cursive ""l"" to help distinguish it from the capital ""I"", although this usage has no official approval by any international bureau.",https://qudt.org/vocab/unit/L
cubic_foot,Cubic Foot,"The cubic foot is an Imperial and US customary unit of volume, used in the United States and the United Kingdom. It is defined as the volume of a cube with sides of one foot (0.3048 m) in length. To calculate cubic feet multiply length X width X height.",https://qudt.org/vocab/unit/FT3
us_gallon,US Gallon,US Gallon is a unit for 'Liquid Volume' expressed as galUS.,https://qudt.org/vocab/unit/GAL_US
bushel,Bushel (US Dry),Unit of the volume bushel (US dry) for dry measure according to the Anglo-American system of units.,https://qudt.org/vocab/unit/BU_US_DRY
barrel,Barrel,"A barrel is one of several units of volume, with dry barrels, fluid barrels (UK beer barrel, U.S. beer barrel), oil barrel, etc. The volume of some barrel units is double others, with various volumes in the range of about 100-200 litres (22-44 imp gal; 26-53 US gal).",https://qudt.org/vocab/unit/BBL
