Code,Title,Description,QUDT URI
kilogram_per_hectare,Kilogram per Hectare,"Kilogram Per Hectare is a unit of mass per area. Kilogram Per Hectare (kg/ha) has a dimension of ML-2 where $M$ is mass, and $L$ is length. It can be converted to the corresponding standard SI unit kg/m2 by multiplying its value by a factor of 0.0001.",https://qudt.org/vocab/unit/KiloGM-PER-HA
kilogram_per_square_metre,Kilogram per Square Metre,"Kilogram Per Square Meter (kg/m2) is a unit in the category of Surface density. It is also known as kilograms per square meter, kilogram per square metre, kilograms per square metre, kilogram/square meter, kilogram/square metre. This unit is commonly used in the SI unit system. Kilogram Per Square Meter (kg/m2) has a dimension of ML-2 where $M$ is mass, and $L$ is length. This unit is the standard SI unit in this category.",https://qudt.org/vocab/unit/KiloGM-PER-M2
