Code,Title,Description,Quantity Kind,QUDT URI
kilogram,Kilogram,"The kilogram or kilogramme (SI symbol: kg), also known as the kilo, is the base unit of mass in the International System of Units and is defined as being equal to the mass of the International Prototype Kilogram (IPK), which is almost exactly equal to the mass of one liter of water. The avoirdupois (or international) pound, used in both the Imperial system and U.S. customary units, is defined as exactly 0.45359237 kg, making one kilogram approximately equal to 2.2046 avoirdupois pounds.",mass,https://qudt.org/vocab/unit/KiloGM
metricTon,Metric Ton,"The tonne (SI unit symbol: t) is a metric system unit of mass equal to 1,000 kilograms (2,204.6 pounds). It is a non-SI unit accepted for use with SI. To avoid confusion with the ton, it is also known as the metric tonne and metric ton in the United States[3] and occasionally in the United Kingdom. In SI units and prefixes, the tonne is a megagram (Mg), a rarely-used symbol, easily confused with mg, for milligram.",mass,https://qudt.org/vocab/unit/TON_Metric
ton,Ton (US),"A ton is a unit of mass in the US customary system, where 1 ton is equal to 2000 pounds of mass.",mass,https://qudt.org/vocab/unit/TON_US
