Code,Title,Description,QUDT URI
centimetre,Centimetre,"A centimetre is a unit of length in the metric system, equal to one hundredth of a metre, which is the SI base unit of length. Centi is the SI prefix for a factor of 10^-2. The centimetre is the base unit of length in the now deprecated centimetre-gram-second (CGS) system of units.",http://qudt.org/vocab/unit/CentiM
foot,Foot,"A foot is a unit of length defined as being 0.3048 m exactly and used in the imperial system of units and United States customary units. It is subdivided into 12 inches. The foot is still officially used in Canada and still commonly used in the United Kingdom, although the latter has partially metricated its units of measurement.",http://qudt.org/vocab/unit/FT
hectormetre,Hectometre,100-fold of the SI base unit metre,http://qudt.org/vocab/unit/HectoM
kilometre,Kilometre,"A common metric unit of length or distance. One kilometer equals exactly 1000 meters, about 0.621 371 19 mile, 1093.6133 yards, or 3280.8399 feet. Oddly, higher multiples of the meter are rarely used; even the distances to the farthest galaxies are usually measured in kilometers.",http://qudt.org/vocab/unit/KiloM
metre,Metre,"The metric and SI base unit of distance. The 17th General Conference on Weights and Measures in 1983 defined the meter as that distance that makes the speed of light in a vacuum equal to exactly 299 792 458 meters per second. The speed of light in a vacuum, , is one of the fundamental constants of nature. The meter is equal to approximately 1.093 613 3 yards, 3.280 840 feet, or 39.370 079 inches.",http://qudt.org/vocab/unit/M
mile,Mile,"The exact length of the land mile varied slightly among English-speaking countries until the international yard and pound agreement in 1959 established the yard as exactly 0.9144 metres, giving a mile of exactly 1,609.344 metres. The United States adopted this international mile for most purposes, but retained the pre-1959 mile for some land-survey data, terming it the US survey mile. In the US, statute mile formally refers to the survey mile, about 3.219 mm (1/8 inch) longer than the international mile (the international mile is exactly 0.0002% less than the US survey mile).",http://qudt.org/vocab/unit/MI
yard,Yard,"A yard is a unit of length in several different systems including United States customary units, Imperial units and the former English units. It is equal to 3 feet or 36 inches. Under an agreement in 1959 between Australia, Canada, New Zealand, South Africa, the United Kingdom and the United States, the yard (known as the ""international yard"" in the United States) was legally defined to be exactly 0.9144 metres.",http://qudt.org/vocab/unit/YD
