Dataset identifier,https://datacatalog.worldbank.org/search/dataset/0064251/Central-Asia-exposure-dataset---Residential-buildings
Link target,https://docs.riskdatalibrary.org/0__2__0/rdls_schema.json
Link relation type,describedby
