Dataset identifier,https://datacatalog.worldbank.org/search/dataset/0064254/Central-Asia-exposure-dataset---Projected-residential-exposure,https://datacatalog.worldbank.org/search/dataset/0064251/Central-Asia-exposure-dataset---Residential-buildings
Link target,https://raw.githubusercontent.com/GFDRR/rdl-standard/0__2__0/schema/rdls_schema.json,https://raw.githubusercontent.com/GFDRR/rdl-standard/0__2__0/schema/rdls_schema.json
Link relation type,describedby,describedby
